Target,Type,RA,DEC,RA/DEC citation,Redshift,log10_dist,z citation,log10_Mc,log10_Mc_sigma,q,Mass UL,mass citation,log10_freq,freq citation,extra metadata
SDSS_J091554.50+352949.6,,09h15m54.50s,+35d29m49.9s,,,3.489156614,,,,,,,-8.072917191,,
SDSS_J121457.39+132024.3,,12h14m57.40s,+13d20m24.5s,,,3.645844568,,,,,,,-8.220493027,,
PGC_3096192,,12h50m29.00s,+06d36m11.1s,,,2.745152895,,,,,,,-8.130194772,,
HE_1408-1003,,14h10m40.30s,-10d17m29.7s,,,3.311160273,,,,,,,-8.220493027,,
SDSS_J072908.71+400836.6,,07h29m08.60s,+40d08m37.0s,,,2.496376054,,,,,,,-7.842848784,,
SDSS_J150450.16+012215.5,,15h04m50.20s,+01d22m15.8s,,,3.514255468,,,,,,,-8.173051004,,
SDSS_J115346.39+241829.4,,11h53m46.40s,+24d18m29.8s,,,3.429881419,,,,,,,-8.15818874,,
SDSS_J114749.70+163106.7,,11h47m49.70s,+16d31m06.8s,,,3.319189369,,,,,,,-8.097582128,,
RXS_J04117+1324,,04h11m46.90s,+13d24m16.5s,,,3.048791274,,,,,,,-8.203920161,,
FBQS_J17239+3748,,17h23m54.30s,+37d48m41.7s,,,3.462577669,,,,,,,-8.228769814,,
6QZ_J221925.1-305408,,22h19m25.20s,-30d54m08.1s,,,3.335538132,,,,,,,-8.085116397,,
CSO_67,,11h03m27.50s,+29d48m11.2s,,,3.493931822,,,,,,,-8.255203012,,
SDSS_J083349.55+232809.0,,08h33m49.60s,+23d28m09.2s,,,3.570484563,,,,,,,-7.972343568,,
SDSS_J134855.27-032141.4,,13h48m55.30s,-03d21m41.4s,,,3.733718747,,,,,,,-8.09124195,,
SDSS_J153636.22+044127.0,,15h36m36.20s,+04d41m26.9s,,,3.17388524,,,,,,,-7.681197805,,
SDSS_J170616.24+370927.0,,17h06m16.20s,+37d09m27.0s,,,3.598440305,,,,,,,-8.078903209,,
SDSS_J102349.38+522151.2,,10h23m49.50s,+52d21m51.8s,,,3.510182947,,,,,,,-8.188151963,,
SDSS_J224829.47+144418.0,,22h48m29.40s,+14d44m18.4s,,,3.217641841,,,,,,,-8.022517448,,
SDSS_J124044.49+231045.8,,12h40m44.50s,+23d10m46.1s,,,3.415140352,,,,,,,-8.09124195,,
SDSS_J130040.62+172758.4,,13h00m40.60s,+17d27m58.5s,,,3.476585294,,,,,,,-8.196107621,,
SDSS_J141425.92+171811.2,,14h14m25.90s,+17d18m11.6s,,,3.203658299,,,,,,,-8.188151963,,
SDSS_J133516.17+183341.4,,13h35m16.10s,+18d33m41.8s,,,3.580114905,,,,,,,-8.173051004,,
SDSS_J131706.19+271416.7,,13h17m06.20s,+27d14m16.7s,,,3.787956123,,,,,,,-8.15818874,,
SDSS_J094450.76+151236.9,,09h44m50.70s,+15d12m37.5s,,,3.735862271,,,,,,,-8.09124195,,
UM_234,,00h23m03.20s,+01d15m33.9s,,,3.418533295,,,,,,,-8.196107621,,
US_3204,,02h49m28.90s,+01d09m25.0s,,,3.509847434,,,,,,,-8.15818874,,
SDSS_J082926.01+180020.7,,08h29m26.00s,+18d00m20.7s,,,3.455088606,,,,,,,-8.097582128,,
SBS_0920+590,,09h23m58.70,+58d49m06.3s,,,3.408731661,,,,,,,-7.748758439,,
SDSS_J014350.13+141453.0,,01h43m50.00s,+14d14m54.9s,,,3.635131745,,,,,,,-8.123470078,,
SDSS_J144754.62+132610.0,,14h47m54.60s,+13d26m10.4s,,,3.331042436,,,,,,,-8.228769814,,
SDSS_J080809.56+311519.1,,08h08m09.50s,+31d15m18.9s,,,3.785564718,,,,,,,-8.001719871,,
SDSS_J172656.96+600348.5,,17h26m56.90s,+60d03m49.1s,,,3.522209416,,,,,,,-8.220493027,,
SDSS_J133807.69+360220.3,,13h38m07.70s,+36d02m20.3s,,,3.581130106,,,,,,,-8.228769814,,
SDSS_J131909.08+090814.7,,13h19m09.10s,+09d08m15.1s,,,3.311160273,,,,,,,-8.049788435,,
SDSS_J152035.23+095925.2,,15h20m35.20s,+09d59m25.7s,,,3.540429589,,,,,,,-8.017140229,,
SDSS_J140704.43+273556.6,,14h07m04.50s,+27d35m56.3s,,,3.74711648,,,,,,,-8.130194772,,
BZQJ2156-2012,,21h56m33.70s,-20d12m30.2s,,,3.608065823,,,,,,,-8.061343892,,
SDSS_J140600.26+013252.2,,14h06m00.30s,+01d32m52.4s,,,3.243980066,,,,,,,-8.237543738,,
SDSS_J121018.66+185726.0,,12h10m18.70s,+1d57m27.0s,,,3.649899269,,,,,,,-8.180543332,,
SDSS_J144755.57+100040.0,,14h47m55.60s,+10d00m40.4s,,,3.392837593,,,,,,,-7.872021008,,
SDSS_J104430.25+051857.2,,10h44m30.30s,+05d18m56.8s,,,3.49248101,,,,,,,-8.061343892,,
163107.34+560905.3,,16h31m07.40s,+56d09m05.1s,,,3.419493135,,,,,,,-8.173051004,,
SDSS_J161013.67+311756.4,,16h10m13.70s,+31d17m56.s,,,2.998869364,,,,,,,-8.173051004,,
SDSS_J104941.01+085548.4,,10h49m41.00s,+08d55m48.5s,,,3.578318241,,,,,,,-8.09124195,,
MS_10548-0335,,10h57m22.30s,-03d51m31.3s,,,3.319876067,,,,,,,-7.886878597,,
4C_50.43,,17h31m03.70s,+50d07m35.7s,,,3.558468563,,,,,,,-7.967922207,,
SDSS_J103111.52+491926.5,,10h31m11.50s,+49d19m27.2s,,,3.582892505,,,,,,,-8.14387878,,
SDSS_J164452.71+430752.2,,16h44m52.70s,+43d07m52.9s,,,3.683128123,,,,,,,-8.237543738,,
SDSS_J154409.61+024040.0,,15h44m09.60s,+02d40m39.8s,,,3.513244243,,,,,,,-8.237543738,,
SDSS_J160730.33+144904.3,,16h07m30.30s,+14d49m04.2s,,,3.695674264,,,,,,,-8.173051004,,
SDSS_J161854.64+230859.1,,16h18m54.60s,+23d08m59.3s,,,3.323870607,,,,,,,-8.15818874,,
SDSS_J121056.83+231912.5,,12h10m56.80s,+23d19m13.0s,,,3.596794957,,,,,,,-8.188151963,,
SDSS_J114857.33+160023.1,,11h48m57.40s,+16d00m22.7s,,,3.588114772,,,,,,,-8.203920161,,
HS_1715+2131,,17h17m20.10s,+21d28m15.0s,,,3.34246216,,,,,,,-8.033423755,,
SDSS_J124119.04+203452.7,,12h41m19.00s,+20d34m53.4s,,,3.645471395,,,,,,,-8.022517448,,
HS_0946+4845,,09h50m00.70s,+48d31m29.9s,,,3.341849824,,,,,,,-8.137090669,,
SDSS_J082827.84+400333.9,,08h28m27.80s,+40d03m34.1s,,,3.514600874,,,,,,,-8.212055431,,
SDSS_J123147.27+101705.3,,12h31m47.30s,+10d17m05.4s,,,3.685858132,,,,,,,-8.203920161,,
HS_0423+0658,,04h26m30.20s,+07d05m30.3s,,,2.848004271,,,,,,,-7.986893499,,
3C_298.0,,14h19m08.20s,+06d28m35.1s,,,3.634940539,,,,,,,-8.228769814,,
SDSS_J134820.42+194831.5,,13h48m20.40s,+19d48m31.9s,,,3.344942163,,,,,,,-8.078903209,,
FBQS_J081740.1+232731,,08h17m40.20s,+23d27m32.0s,,,3.487293958,,,,,,,-8.012060704,,
SDSS_J124157.90+130104.1,,12h41m57.90s,+13d01m04.7s,,,3.588854111,,,,,,,-8.123470078,,
